cidade_codigo,cidade_nome,cidade_latitude,cidade_longitude,cidade_capital,cidade_populacao,uf_codigo,uf_sigla,uf_nome,microrregiao_codigo,microrregiao_nome,mesorregiao_codigo,mesorregiao_nome,ventiladores_existentes_total,ventiladores_existentes_100k_total,ventiladores_sus_total,ventiladores_sus_100k_total,leitos_uti_existentes_total,leitos_uti_existentes_100k_total,leitos_uti_sus_total,leitos_uti_sus_100k_total,covid_casos,covid_casos_100k,covid_mortes,covid_mortes_100k
4323358,Vila Lângaro,-28.1062,-52.1438,0.0,2091.0,43,RS,Rio Grande do Sul,43010,Passo Fundo,4301,Noroeste Rio-grandense,,,,,,,,,,,,
3131158,Ipaba,-19.4158,-42.4139,0.0,18607.0,31,MG,Minas Gerais,31040,Caratinga,3108,Vale do Rio Doce,,,,,,,,,1.0,5.37432149191165,0.0,0.0
2310852,Pindoretama,-4.01584,-38.3061,0.0,20567.0,23,CE,Ceará,23015,Cascavel,2302,Norte Cearense,,,,,,,,,1.0,4.86215782564302,0.0,0.0
2933174,Varzedo,-12.9672,-39.3919,0.0,8838.0,29,BA,Bahia,29020,Santo Antônio de Jesus,2905,Metropolitana de Salvador,1.0,11.3147770988912,1.0,11.3147770988912,,,,,,,,
2607208,Ipojuca,-8.39303,-35.0609,0.0,96204.0,26,PE,Pernambuco,26018,Suape,2605,Metropolitana de Recife,13.0,13.5129516444223,9.0,9.35512036921542,,,,,5.0,5.19728909400856,0.0,0.0
2204709,Inhuma,-6.665,-41.7041,0.0,15308.0,22,PI,Piauí,22006,Valença do Piauí,2202,Centro-Norte Piauiense,,,,,,,,,,,,
3118601,Contagem,-19.9321,-44.0539,0.0,663855.0,31,MG,Minas Gerais,31030,Belo Horizonte,3107,Metropolitana de Belo Horizonte,82.0,12.3520949604959,73.0,10.9963772209293,72.0,10.845741916533,37.0,5.57350626266278,17.0,2.56080017473695,0.0,0.0
3105509,Barão de Monte Alto,-21.2444,-42.2372,0.0,5397.0,31,MG,Minas Gerais,31063,Muriaé,3112,Zona da Mata,,,,,,,,,,,,
3137403,Lagoa Dourada,-20.9139,-44.0797,0.0,13009.0,31,MG,Minas Gerais,31058,São João Del Rei,3111,Campo das Vertentes,,,,,,,,,,,,
3148400,Paulistas,-18.4276,-42.8628,0.0,4830.0,31,MG,Minas Gerais,31035,Guanhães,3108,Vale do Rio Doce,,,,,,,,,,,,
3556206,Valinhos,-22.9698,-46.9974,0.0,129193.0,35,SP,São Paulo,35032,Campinas,3507,Campinas,45.0,34.8316085236816,16.0,12.3845719195312,46.0,35.6056442686523,4.0,3.09614297988281,5.0,3.87017872485351,0.0,0.0
4317806,Santo Augusto,-27.8526,-53.7776,0.0,13885.0,43,RS,Rio Grande do Sul,43008,Ijuí,4301,Noroeste Rio-grandense,4.0,28.8080662585524,4.0,28.8080662585524,,,,,,,,
5106265,Novo Mundo,-9.95616,-55.2029,0.0,9178.0,51,MT,Mato Grosso,51003,Colíder,5101,Norte Mato-grossense,,,,,,,,,,,,
2412906,São Tomé,-5.96404,-36.0798,0.0,11055.0,24,RN,Rio Grande do Norte,24014,Borborema Potiguar,2403,Agreste Potiguar,,,,,,,,,,,,
3525102,Jardinópolis,-21.0176,-47.7606,0.0,44380.0,35,SP,São Paulo,35014,Ribeirão Preto,3502,Ribeirão Preto,2.0,4.50653447498873,2.0,4.50653447498873,,,,,2.0,4.50653447498873,0.0,0.0
3541109,Presidente Alves,-22.0999,-49.4381,0.0,4094.0,35,SP,São Paulo,35020,Bauru,3504,Bauru,,,,,,,,,,,,
4314605,Piratini,-31.4473,-53.0973,0.0,20663.0,43,RS,Rio Grande do Sul,43032,Serras de Sudeste,4307,Sudeste Rio-grandense,2.0,9.67913662101341,2.0,9.67913662101341,,,,,1.0,4.8395683105067,0.0,0.0
3137205,Lagoa da Prata,-20.0237,-45.5401,0.0,52165.0,31,MG,Minas Gerais,31026,Bom Despacho,3106,Central Mineira,30.0,57.509824595035,30.0,57.509824595035,10.0,19.1699415316783,10.0,19.1699415316783,14.0,26.8379181443497,0.0,0.0
3155702,Rio Piracicaba,-19.9284,-43.1829,0.0,14339.0,31,MG,Minas Gerais,31031,Itabira,3107,Metropolitana de Belo Horizonte,2.0,13.9479740567683,2.0,13.9479740567683,,,,,,,,
3532108,Murutinga do Sul,-20.9908,-51.2774,0.0,4486.0,35,SP,São Paulo,35016,Andradina,3503,Araçatuba,,,,,,,,,,,,
3541901,Queluz,-22.5312,-44.7781,0.0,13420.0,35,SP,São Paulo,35051,Guaratinguetá,3513,Vale do Paraíba Paulista,2.0,14.903129657228,2.0,14.903129657228,,,,,,,,
3154200,Resende Costa,-20.9171,-44.2407,0.0,11500.0,31,MG,Minas Gerais,31058,São João Del Rei,3111,Campo das Vertentes,1.0,8.69565217391304,1.0,8.69565217391304,,,,,,,,
2916401,Itapetinga,-15.2475,-40.2482,0.0,76147.0,29,BA,Bahia,29029,Itapetinga,2906,Centro Sul Baiano,18.0,23.6384887126216,17.0,22.3252393396982,9.0,11.8192443563108,9.0,11.8192443563108,5.0,6.56624686461712,1.0,1.31324937292342
3535002,Palestina,-20.39,-49.4309,0.0,12957.0,35,SP,São Paulo,35004,São José do Rio Preto,3501,São José do Rio Preto,,,,,,,,,,,,
2304301,Farias Brito,-6.92146,-39.5651,0.0,19450.0,23,CE,Ceará,23030,Caririaçu,2307,Sul Cearense,1.0,5.1413881748072,1.0,5.1413881748072,,,,,1.0,5.1413881748072,1.0,5.1413881748072
2102705,Cantanhede,-3.63757,-44.383,0.0,21995.0,21,MA,Maranhão,21006,Itapecuru Mirim,2101,Norte Maranhense,,,,,,,,,1.0,4.54648783814503,0.0,0.0
2607604,Ilha de Itamaracá,-7.74766,-34.8303,0.0,26258.0,26,PE,Pernambuco,26016,Itamaracá,2605,Metropolitana de Recife,1.0,3.80836316551146,1.0,3.80836316551146,,,,,,,,
4208401,Itapiranga,-27.1659,-53.7166,0.0,16872.0,42,SC,Santa Catarina,42001,São Miguel do Oeste,4201,Oeste Catarinense,1.0,5.92697961119014,1.0,5.92697961119014,,,,,1.0,5.92697961119014,0.0,0.0
3525300,Jaú,-22.2936,-48.5592,0.0,150252.0,35,SP,São Paulo,35021,Jaú,3504,Bauru,108.0,71.8792428719751,97.0,64.5582088757554,55.0,36.6051699810984,40.0,26.6219418044352,1.0,0.66554854511088,0.0,0.0
